#First two columns are conformal time, the other three columns are tau0*tau0*r*Dl*Window1*Window2
#tau1     tau2      D2_integrand      D9_integrand      D42_integrand
11521      10359.1      -9.8261e-08      2.74795e-08      -1.29002e-09
11513.2      10347.9      -9.55793e-08      2.72058e-08      -1.3782e-10
11505.3      10336.6      -9.39986e-08      2.55642e-08      -2.74029e-10
11497.5      10325.4      -9.13754e-08      2.48662e-08      5.10286e-10
11489.7      10314.1      -8.90723e-08      2.34389e-08      8.18569e-10
11481.9      10302.9      -8.61071e-08      2.25419e-08      1.46679e-09
11474.1      10291.7      -8.34044e-08      2.11834e-08      1.83499e-09
11466.3      10280.4      -8.07392e-08      1.94723e-08      1.75663e-09
11458.5      10269.2      -7.71713e-08      1.87639e-08      2.45536e-09
11450.7      10257.9      -7.45859e-08      1.70232e-08      2.01283e-09
11442.8      10246.7      -7.11325e-08      1.58807e-08      2.05308e-09
11435      10235.4      -6.81267e-08      1.40997e-08      1.54797e-09
11427.2      10224.2      -6.42048e-08      1.31034e-08      1.54452e-09
11419.4      10212.9      -6.05372e-08      1.21855e-08      1.37236e-09
11411.6      10201.7      -5.73537e-08      1.0895e-08      7.20802e-10
11403.8      10190.4      -5.32637e-08      1.04755e-08      9.69786e-10
11396      10179.2      -4.98242e-08      9.61266e-09      5.44443e-10
11388.1      10167.9      -4.5837e-08      9.2653e-09      6.23924e-10
11380.3      10156.7      -4.25689e-08      8.29272e-09      6.40456e-11
11372.5      10145.4      -3.9064e-08      7.74945e-09      -1.25349e-10
11364.7      10134.2      -3.55031e-08      7.3668e-09      -5.75665e-11
11356.9      10123      -3.2507e-08      6.69763e-09      -4.5845e-10
11349.1      10111.7      -2.93429e-08      6.39862e-09      -4.22616e-10
11341.3      10100.5      -2.66171e-08      5.82168e-09      -6.43683e-10
11333.5      10089.2      -2.37195e-08      5.66159e-09      -4.79491e-10
11325.6      10078      -2.12355e-08      5.19156e-09      -4.89102e-10
11317.8      10066.7      -1.89135e-08      4.78258e-09      -4.63012e-10
11310      10055.5      -1.66797e-08      4.50725e-09      -2.82613e-10
11302.2      10044.2      -1.47886e-08      4.06721e-09      -2.5804e-10
11294.4      10033      -1.2967e-08      3.76883e-09      -1.19753e-10
11286.6      10021.7      -1.14823e-08      3.30225e-09      -1.49086e-10
11278.8      10010.5      -9.9942e-09      3.00222e-09      -3.36102e-11
11270.9      9999.24      -8.74044e-09      2.64931e-09      4.47965e-12
11263.1      9988      -7.63477e-09      2.28543e-09      1.25875e-11
11255.3      9976.75      -6.60093e-09      1.98735e-09      7.00365e-11
11247.5      9965.51      -5.73447e-09      1.69176e-09      6.67822e-11
