#k_size_bessel = 25000
#tau_size_selection = 50
#Gaussian z1=1.66792, z2= 1.83296 (0.0001)
#rsd-rsd
#tau1      tau2         l(l+1)Dl(tau1,tau2)
#l = 2
10862.4     10243.1      -3.5642e-07
10862.4     10346.3      -4.83444e-07
10862.4     10449.5      -7.59328e-07
10862.4     10552.7      -1.25547e-06
10862.4     10655.9      -2.33973e-06
10862.4     10759.2      -9.39858e-07
10862.4     10862.4      3.86079e-05
10965.6     9107.76      -3.03e-08
10965.6     9210.97      -3.02697e-08
10965.6     9314.18      -4.09497e-08
10965.6     9417.39      -4.6463e-08
10965.6     9520.61      -5.91364e-08
10965.6     9623.82      -6.32554e-08
10965.6     9727.03      -7.73086e-08
10965.6     9830.24      -1.05398e-07
10965.6     9933.45      -1.18967e-07
10965.6     10036.7      -1.56738e-07
10965.6     10139.9      -1.99504e-07
10965.6     10243.1      -2.73909e-07
10965.6     10346.3      -3.86761e-07
10965.6     10449.5      -5.2522e-07
10965.6     10552.7      -8.25864e-07
10965.6     10655.9      -1.3668e-06
10965.6     10759.2      -2.5502e-06
10965.6     10862.4      -1.0377e-06
10965.6     10965.6      4.19466e-05
11068.8     9107.76      -2.93812e-08
11068.8     9210.97      -3.14238e-08
11068.8     9314.18      -3.14288e-08
11068.8     9417.39      -4.36134e-08
11068.8     9520.61      -4.86509e-08
11068.8     9623.82      -6.1323e-08
11068.8     9727.03      -6.63378e-08
11068.8     9830.24      -8.16973e-08
11068.8     9933.45      -1.11956e-07
11068.8     10036.7      -1.25641e-07
11068.8     10139.9      -1.67429e-07
11068.8     10243.1      -2.15603e-07
11068.8     10346.3      -2.96558e-07
11068.8     10449.5      -4.19507e-07
11068.8     10552.7      -5.70906e-07
11068.8     10655.9      -9.01168e-07
11068.8     10759.2      -1.49301e-06
11068.8     10862.4      -2.7843e-06
11068.8     10965.6      -1.15001e-06
11068.8     11068.8      4.56107e-05
11172     9107.76      -2.08221e-08
11172     9210.97      -3.05404e-08
11172     9314.18      -3.33305e-08
11172     9417.39      -3.23874e-08
11172     9520.61      -4.45062e-08
11172     9623.82      -5.0474e-08
11172     9727.03      -6.42626e-08
11172     9830.24      -6.94265e-08
11172     9933.45      -8.499e-08
11172     10036.7      -1.18501e-07
11172     10139.9      -1.34922e-07
11172     10243.1      -1.80228e-07
11172     10346.3      -2.3265e-07
11172     10449.5      -3.21075e-07
11172     10552.7      -4.5746e-07
11172     10655.9      -6.24712e-07
11172     10759.2      -9.86055e-07
11172     10862.4      -1.63493e-06
11172     10965.6      -3.04778e-06
11172     11068.8      -1.28144e-06
11172     11172      4.96419e-05
11275.2     9107.76      -1.87301e-08
11275.2     9210.97      -2.19427e-08
11275.2     9314.18      -3.15144e-08
11275.2     9417.39      -3.33978e-08
11275.2     9520.61      -3.28691e-08
11275.2     9623.82      -4.6037e-08
11275.2     9727.03      -5.21814e-08
11275.2     9830.24      -6.59493e-08
11275.2     9933.45      -7.21477e-08
11275.2     10036.7      -9.0548e-08
11275.2     10139.9      -1.26723e-07
11275.2     10243.1      -1.44441e-07
11275.2     10346.3      -1.93879e-07
11275.2     10449.5      -2.53247e-07
11275.2     10552.7      -3.51457e-07
11275.2     10655.9      -5.01081e-07
11275.2     10759.2      -6.86528e-07
11275.2     10862.4      -1.08444e-06
11275.2     10965.6      -1.7973e-06
11275.2     11068.8      -3.34255e-06
11275.2     11172      -1.42576e-06
11275.2     11275.2      5.41077e-05
11378.4     9107.76      -1.59171e-08
11378.4     9210.97      -1.8812e-08
11378.4     9314.18      -2.11536e-08
11378.4     9417.39      -3.20138e-08
11378.4     9520.61      -3.40232e-08
11378.4     9623.82      -3.31058e-08
11378.4     9727.03      -4.61658e-08
11378.4     9830.24      -5.33674e-08
11378.4     9933.45      -6.97366e-08
11378.4     10036.7      -7.61532e-08
11378.4     10139.9      -9.59479e-08
11378.4     10243.1      -1.35292e-07
11378.4     10346.3      -1.56712e-07
11378.4     10449.5      -2.12209e-07
11378.4     10552.7      -2.77634e-07
11378.4     10655.9      -3.87313e-07
11378.4     10759.2      -5.53636e-07
11378.4     10862.4      -7.59931e-07
11378.4     10965.6      -1.19602e-06
11378.4     11068.8      -1.97357e-06
11378.4     11172      -3.65955e-06
11378.4     11275.2      -1.57584e-06
11378.4     11378.4      5.90648e-05
11481.6     9107.76      -1.70507e-08
11481.6     9210.97      -1.47186e-08
11481.6     9314.18      -1.83336e-08
11481.6     9417.39      -2.08513e-08
11481.6     9520.61      -3.22702e-08
11481.6     9623.82      -3.31443e-08
11481.6     9727.03      -3.26599e-08
11481.6     9830.24      -4.8238e-08
11481.6     9933.45      -5.56792e-08
11481.6     10036.7      -7.31553e-08
11481.6     10139.9      -8.00514e-08
11481.6     10243.1      -1.03662e-07
11481.6     10346.3      -1.48014e-07
11481.6     10449.5      -1.71863e-07
11481.6     10552.7      -2.34695e-07
11481.6     10655.9      -3.08875e-07
11481.6     10759.2      -4.3185e-07
11481.6     10862.4      -6.14176e-07
11481.6     10965.6      -8.3722e-07
11481.6     11068.8      -1.30911e-06
11481.6     11172      -2.15609e-06
11481.6     11275.2      -4.00157e-06
11481.6     11378.4      -1.73923e-06
11481.6     11481.6      6.45625e-05
11584.8     9107.76      -1.25595e-08
