#k_size_bessel = 25000
#tau_size_selection = 50
#Gaussian z1=1, z2= 1.5 (1e-06)
#rsd-rsd
#tau1      tau2         l(l+1)Dl(tau1,tau2)
#l = 64
9958.67     11696.1      -7.18803e-07
9958.67     11787.6      6.41646e-07
9958.67     11879      -4.21078e-07
9958.67     11970.5      -1.95017e-07
9958.67     12061.9      -2.10683e-07
9958.67     12153.4      -5.38726e-07
9958.67     12244.8      1.74623e-07
9958.67     12336.2      -2.78948e-07
9958.67     12427.7      -1.92224e-07
9958.67     12519.1      1.97812e-07
9958.67     12610.6      4.30998e-08
9958.67     12702      -1.49387e-07
9958.67     12793.5      -6.75554e-08
9958.67     12884.9      -4.52108e-08
9958.67     12976.4      -7.61962e-08
9958.67     13067.8      -1.28645e-07
9958.67     13159.3      -1.65074e-07
9958.67     13250.7      3.43104e-08
9958.67     13342.1      -1.66073e-07
9958.67     13433.6      -8.59925e-08
9958.67     13525      7.83181e-09
9958.67     13616.5      3.29613e-08
9958.67     13707.9      -1.51435e-08
9958.67     13799.4      -4.93279e-09
9958.67     13890.8      -9.19088e-09
9958.67     13982.3      7.11017e-09
9958.67     14073.7      -7.87923e-09
9958.67     14165.2      -0.47091
10050.1     9684.33      2.49697e-05
10050.1     9775.78      2.96276e-05
10050.1     9867.22      -0.000154318
10050.1     9958.67      -0.000889758
10050.1     10050.1      0.00852054
10050.1     10141.6      -0.000931681
10050.1     10233      -0.000144007
10050.1     10324.5      3.842e-05
10050.1     10415.9      2.46248e-05
10050.1     10507.3      8.37838e-06
10050.1     10598.8      4.40789e-06
10050.1     10690.2      -1.98702e-07
10050.1     10781.7      -2.02494e-06
10050.1     10873.1      2.49547e-06
10050.1     10964.6      -1.75978e-06
10050.1     11056      -5.69343e-07
10050.1     11147.5      1.09358e-06
10050.1     11238.9      -5.57901e-07
10050.1     11330.3      1.36728e-07
10050.1     11421.8      3.1632e-07
10050.1     11513.2      -8.96083e-07
10050.1     11604.7      1.53504e-07
10050.1     11696.1      -2.71113e-07
10050.1     11787.6      -4.95076e-07
10050.1     11879      5.11423e-07
10050.1     11970.5      -4.02379e-07
10050.1     12061.9      -1.66145e-07
10050.1     12153.4      -4.41228e-07
10050.1     12244.8      -4.19933e-08
10050.1     12336.2      -3.48261e-08
10050.1     12427.7      3.90729e-07
10050.1     12519.1      -1.50153e-07
10050.1     12610.6      4.54508e-07
10050.1     12702      2.47948e-07
10050.1     12793.5      4.00075e-08
10050.1     12884.9      -1.18644e-07
10050.1     12976.4      -1.20815e-07
10050.1     13067.8      2.78977e-07
10050.1     13159.3      8.65418e-08
10050.1     13250.7      1.87233e-07
10050.1     13342.1      -2.31653e-08
10050.1     13433.6      4.38363e-08
10050.1     13525      1.47162e-08
10050.1     13616.5      5.76987e-08
10050.1     13707.9      2.22928e-09
10050.1     13799.4      5.73236e-09
10050.1     13890.8      -1.4369e-09
10050.1     13982.3      -7.9439e-09
10050.1     14073.7      8.45558e-09
10050.1     14165.2      0.541456
10141.6     9684.33      9.05619e-06
10141.6     9775.78      2.5134e-05
10141.6     9867.22      3.27016e-05
10141.6     9958.67      -0.000149738
10141.6     10050.1      -0.000931681
10141.6     10141.6      0.00903731
10141.6     10233      -0.000973889
10141.6     10324.5      -0.000137342
10141.6     10415.9      4.11042e-05
10141.6     10507.3      2.40867e-05
10141.6     10598.8      8.13986e-06
10141.6     10690.2      4.27428e-06
10141.6     10781.7      -1.09983e-06
10141.6     10873.1      -2.08585e-06
10141.6     10964.6      2.837e-06
10141.6     11056      -1.88473e-06
10141.6     11147.5      -6.38338e-07
10141.6     11238.9      4.66259e-07
10141.6     11330.3      -7.15706e-07
10141.6     11421.8      2.04659e-07
10141.6     11513.2      5.00337e-07
10141.6     11604.7      -9.02381e-07
10141.6     11696.1      1.67683e-07
10141.6     11787.6      -7.03161e-07
10141.6     11879      -4.07942e-07
10141.6     11970.5      2.54797e-07
10141.6     12061.9      -3.31577e-07
10141.6     12153.4      -3.37214e-07
10141.6     12244.8      -6.10668e-07
10141.6     12336.2      -6.49695e-08
10141.6     12427.7      -4.50002e-07
10141.6     12519.1      5.23823e-07
10141.6     12610.6      1.60488e-07
